Year;Nationality;Value
2000;Singapore;5420200
2000;Thailand;940215
2000;Indonesia;545051
2000;China;501590
2000;Japan;455981
2000;UK;237757
2000;Australia;236775
2000;Chinese Taipei;213016
2000;Brunei Darussalam;195059
2000;USA;184100
2000;India;132127
2000;Philippines;81927
2000;Germany;74556
2000;Korea (ROK);72443
2000;Canada;55799
2000;Sweden;48739
2000;Netherlands;35400
2000;Italy;34548
2000;France;31785
2000;Saudi Arabia;27808
2000;Finland;22667
2000;New Zealand;19351
2000;Norway;15866
2000;South Africa;11540
2000;Denmark;10599
2000;Switzerland;10213
2000;Turkey;8705
2000;Vietnam;7969
2000;Russian Federation;5799
2000;Iran;4514
2000;UAE;2391
2001;Singapore;6951594
2001;Thailand;1018797
2001;Indonesia;777449
2001;China;597857
2001;Japan;397639
2001;Brunei Darussalam;309529
2001;UK;262423
2001;Chinese Taipei;249811
2001;Australia;222340
2001;USA;145827
2001;India;143513
2001;Philippines;122428
2001;Germany;70401
2001;Korea (ROK);66343
2001;Netherlands;52034
2001;Saudi Arabia;39957
2001;Canada;38935
2001;Sweden;35053
2001;France;32922
2001;New Zealand;29893
2001;South Africa;20766
2001;Italy;20636
2001;Switzerland;20429
2001;Denmark;19770
2001;Vietnam;18729
2001;Finland;15284
2001;Iran;15015
2001;UAE;13762
2001;Norway;12530
2001;Turkey;6392
2001;Russian Federation;4276
2002;Singapore;7547761
2002;Thailand;1167216
2002;Indonesia;769128
2002;China;674056
2002;Japan;354563
2002;Brunei Darussalam;256952
2002;UK;239294
2002;Chinese Taipei;209706
2002;Australia;193794
2002;India;183360
2002;USA;127920
2002;Philippines;107527
2002;Korea (ROK);64301
2002;Poland;62793
2002;Germany;54645
2002;Saudi Arabia;45307
2002;Netherlands;39303
2002;Canada;34996
2002;Sweden;29044
2002;France;27434
2002;New Zealand;25157
2002;Vietnam;21158
2002;Denmark;17297
2002;Italy;16805
2002;Switzerland;15614
2002;UAE;14124
2002;South Africa;13720
2002;Finland;12908
2002;Norway;11589
2002;Iran;9414
2002;Cambodia;7705
2002;Turkey;5742
2002;Russian Federation;5067
2003;Singapore;5922306
2003;Thailand;1152296
2003;Indonesia;621651
2003;China;422624
2003;Brunei Darussalam;215634
2003;Japan;213527
2003;India;145153
2003;Australia;144507
2003;Chinese Taipei;137419
2003;USA;131071
2003;UK;125569
2003;Philippines;90430
2003;Poland;55283
2003;Korea (ROK);46246
2003;Germany;41145
2003;Netherlands;28822
2003;Canada;26978
2003;France;23845
2003;Sweden;23560
2003;Vietnam;21663
2003;Saudi Arabia;20077
2003;New Zealand;18982
2003;Switzerland;14475
2003;Denmark;13434
2003;Italy;12872
2003;South Africa;12577
2003;Finland;11041
2003;Iran;10412
2003;Cambodia;8725
2003;Norway;7856
2003;UAE;6047
2003;Russian Federation;5235
2003;Turkey;5191
2004;Singapore;9520306
2004;Thailand;1518452
2004;Indonesia;789925
2004;China;632807
2004;Brunei Darussalam;453664
2004;Japan;301429
2004;UK;204409
2004;Australia;204053
2004;Chinese Taipei;190083
2004;India;172966
2004;USA;145094
2004;Philippines;143799
2004;Korea (ROK);91270
2004;Germany;53783
2004;Vietnam;42088
2004;Saudi Arabia;39432
2004;Canada;32822
2004;France;32562
2004;Netherlands;28112
2004;Sweden;25960
2004;New Zealand;23855
2004;UAE;21161
2004;Italy;20036
2004;South Africa;16511
2004;Poland;15680
2004;Switzerland;15584
2004;Denmark;11884
2004;Finland;11308
2004;Iran;11236
2004;Cambodia;10951
2004;Norway;9437
2004;Russian Federation;6627
2004;Turkey;6127
2005;Singapore;9634506
2005;Thailand;1900839
2005;Indonesia;962957
2005;Brunei Darussalam;486344
2005;China;432570
2005;Japan;340027
2005;Australia;265346
2005;UK;240030
2005;India;225789
2005;Philippines;178961
2005;Chinese Taipei;172456
2005;Korea (ROK);158177
2005;USA;151354
2005;Germany;59344
2005;Saudi Arabia;53682
2005;Vietnam;52543
2005;Netherlands;40493
2005;France;40473
2005;New Zealand;33846
2005;Sweden;32408
2005;Canada;31167
2005;UAE;29606
2005;Italy;21561
2005;Switzerland;17700
2005;South Africa;16381
2005;Finland;13172
2005;Iran;12309
2005;Denmark;11681
2005;Poland;10369
2005;Cambodia;9957
2005;Norway;9823
2005;Russian Federation;8386
2005;Turkey;6673
2006;Singapore;9656251
2006;Thailand;1891921
2006;Indonesia;1217024
2006;Brunei Darussalam;784446
2006;China;532914
2006;Japan;354213
2006;India;279046
2006;Australia;277125
2006;UK;252035
2006;Philippines;211123
2006;Korea (ROK);189464
2006;Chinese Taipei;181829
2006;USA;174336
2006;Saudi Arabia;67679
2006;Germany;66171
2006;Vietnam;63866
2006;France;49378
2006;Netherlands;46065
2006;Sweden;36280
2006;UAE;35118
2006;New Zealand;34765
2006;Canada;34730
2006;Italy;26248
2006;South Africa;20174
2006;Finland;19918
2006;Iran;18753
2006;Switzerland;18326
2006;Cambodia;14694
2006;Russian Federation;12945
2006;Denmark;12773
2006;Norway;11290
2006;Poland;11282
2006;Turkey;7654
2007;Singapore;10492692
2007;Indonesia;1804535
2007;Thailand;1625698
2007;Brunei Darussalam;1172154
2007;China;789783
2007;India;422452
2007;Japan;367567
2007;Philippines;327140
2007;Australia;320363
2007;UK;276213
2007;Korea (ROK);224867
2007;USA;204844
2007;Chinese Taipei;201311
2007;Vietnam;119973
2007;Germany;78598
2007;Saudi Arabia;78298
2007;France;59456
2007;Netherlands;55604
2007;Canada;46903
2007;Sweden;44746
2007;New Zealand;41369
2007;UAE;38170
2007;Poland;34344
2007;Finland;34144
2007;Italy;31576
2007;Iran;27215
2007;Cambodia;23193
2007;South Africa;21233
2007;Switzerland;20662
2007;Denmark;19773
2007;Russian Federation;16868
2007;Norway;14954
2007;Turkey;9580
2008;Singapore;11003492
2008;Indonesia;2428605
2008;Thailand;1493789
2008;Brunei Darussalam;1085115
2008;China;949864
2008;India;550738
2008;Japan;433462
2008;Australia;427076
2008;Philippines;397884
2008;UK;370591
2008;Korea (ROK);267461
2008;USA;223249
2008;Chinese Taipei;190979
2008;Vietnam;122933
2008;Germany;111525
2008;Netherlands;90802
2008;France;86030
2008;Canada;77664
2008;Saudi Arabia;74632
2008;Iran;63129
2008;New Zealand;56117
2008;Sweden;48649
2008;Italy;38945
2008;Cambodia;35464
2008;UAE;34994
2008;Switzerland;26489
2008;Russian Federation;26308
2008;South Africa;25437
2008;Denmark;23817
2008;Finland;23112
2008;Norway;21516
2008;Poland;11745
2008;Turkey;8152
2009;Singapore;12733082
2009;Indonesia;2405360
2009;Thailand;1449262
2009;Brunei Darussalam;1061357
2009;China;1019756
2009;India;589838
2009;Australia;533382
2009;Philippines;447470
2009;UK;403391
2009;Japan;395746
2009;USA;228571
2009;Korea (ROK);227312
2009;Chinese Taipei;197869
2009;Vietnam;149685
2009;Germany;128288
2009;Netherlands;111139
2009;France;110054
2009;Iran;101664
2009;Canada;88080
2009;Saudi Arabia;77082
2009;New Zealand;63004
2009;Sweden;49509
2009;Italy;46352
2009;Cambodia;43146
2009;Russian Federation;29202
2009;Switzerland;28523
2009;Denmark;25916
2009;South Africa;23556
2009;Norway;22487
2009;UAE;22108
2009;Finland;20912
2009;Poland;12544
2009;Turkey;8265
2010;Singapore;13042004
2010;Indonesia;2506509
2010;Thailand;1458678
2010;China;1130261
2010;Brunei Darussalam;1124406
2010;India;690849
2010;Australia;580695
2010;Philippines;486790
2010;UK;429965
2010;Japan;415881
2010;Korea (ROK);264052
2010;USA;232965
2010;Chinese Taipei;211143
2010;Vietnam;159271
2010;Germany;130896
2010;Iran;116252
2010;Netherlands;114887
2010;France;111175
2010;Canada;91701
2010;Saudi Arabia;86771
2010;Myanmar;72792
2010;New Zealand;66152
2010;Sweden;48971
2010;Cambodia;48618
2010;Italy;47068
2010;Lao PDR;38111
2010;Russian Federation;32075
2010;Switzerland;27894
2010;South Africa;26395
2010;UAE;25645
2010;Denmark;24869
2010;Norway;22773
2010;Finland;21355
2010;Turkey;9149
2010;Austria;1090
2011;Singapore;13372647
2011;Indonesia;2134381
2011;Thailand;1442048
2011;China;1250536
2011;Brunei Darussalam;1239404
2011;India;699056
2011;Australia;558411
2011;UK;403940
2011;Japan;386974
2011;Philippines;362101
2011;Korea (ROK);263428
2011;Chinese Taipei;233783
2011;USA;216755
2011;Vietnam;173783
2011;Iran;139617
2011;France;127980
2011;Germany;124670
2011;Netherlands;90590
2011;Saudi Arabia;87693
2011;Canada;86015
2011;Myanmar;81946
2011;New Zealand;81387
2011;Cambodia;49472
2011;Sweden;44138
2011;Italy;43864
2011;Russian Federation;38918
2011;South Africa;31441
2011;Lao PDR;29520
2011;Switzerland;25802
2011;UAE;24212
2011;Denmark;22269
2011;Finland;19969
2011;Norway;19891
2011;Austria;13082
2011;Turkey;8577
2012;Singapore;13014268
2012;Indonesia;2395448
2012;China;1583318
2012;Thailand;1263024
2012;Brunei Darussalam;1258070
2012;India;691271
2012;Philippines;508744
2012;Australia;507948
2012;Japan;470008
2012;UK;402207
2012;Korea (ROK);283977
2012;Chinese Taipei;242519
2012;USA;240134
2012;Vietnam;211008
2012;France;134823
2012;Germany;132626
2012;Iran;127404
2012;Nepal;123173
2012;Saudi Arabia;102365
2012;Netherlands;88404
2012;Canada;86931
2012;Bangladesh;86465
2012;Myanmar;83473
2012;Pakistan;79989
2012;New Zealand;65726
2012;Sri Lanka;62821
2012;Cambodia;50179
2012;Russian Federation;44765
2012;Italy;44330
2012;Sweden;38418
2012;Lao PDR;38364
2012;Switzerland;27360
2012;Denmark;24408
2012;South Africa;23635
2012;Oman;22166
2012;Iraq;21812
2012;Ireland;21639
2012;Norway;19068
2012;Spain;17493
2012;Kazakhstan;16413
2012;Egypt;15463
2012;UAE;14365
2012;Belgium;13123
2012;Kuwait;12224
2012;Finland;10223
2012;Turkey;9909
2012;Nigeria;9562
2012;Poland;6985
2012;Austria;4023
2012;Uzbekistan;3702
2012;Qatar;1908
2012;Brazil;1579
2013;Singapore;13178774
2013;Indonesia;2548021
2013;China;1791423
2013;Brunei Darussalam;1238871
2013;Thailand;1156452
2013;India;650989
2013;Philippines;557147
2013;Australia;526342
2013;Japan;513076
2013;UK;413472
2013;Chinese Taipei;286266
2013;Korea (ROK);274622
2013;USA;246936
2013;Vietnam;235700
2013;France;145108
2013;Germany;136749
2013;Bangladesh;134663
2013;Nepal;132148
2013;Saudi Arabia;94986
2013;Myanmar;90740
2013;Canada;88904
2013;Netherlands;83955
2013;Pakistan;81397
2013;Iran;78316
2013;Cambodia;64534
2013;Sri Lanka;64051
2013;New Zealand;63175
2013;Russian Federation;53203
2013;Italy;45253
2013;Sweden;43460
2013;Lao PDR;35676
2013;Switzerland;28191
2013;Iraq;27869
2013;Oman;25849
2013;Denmark;25312
2013;Ireland;24459
2013;South Africa;22473
2013;Norway;21128
2013;Egypt;20352
2013;Spain;18674
2013;UAE;18253
2013;Kazakhstan;16074
2013;Belgium;14063
2013;Turkey;12775
2013;Kuwait;12109
2013;Finland;9331
2013;Nigeria;9128
2013;Poland;7909
2013;Uzbekistan;4984
2013;Austria;4112
2013;Qatar;2527
2013;Brazil;2285
2014;Singapore;13932967
2014;Indonesia;2827533
2014;China;1613355
2014;Thailand;1299298
2014;Brunei Darussalam;1213110
2014;India;770108
2014;Philippines;618538
2014;Australia;571328
2014;Japan;553106
2014;UK;445789
2014;Korea (ROK);385769
2014;Vietnam;285716
2014;Chinese Taipei;274665
2014;USA;262106
2014;Bangladesh;204418
2014;France;169973
2014;Nepal;159144
2014;Germany;158453
2014;Saudi Arabia;113921
2014;Netherlands;97988
2014;Pakistan;97144
2014;Myanmar;95352
2014;Canada;92761
2014;Cambodia;73700
2014;Iran;72264
2014;New Zealand;67448
2014;Russian Federation;61845
2014;Sri Lanka;61670
2014;Italy;55210
2014;Sweden;38127
2014;Spain;35389
2014;Oman;34534
2014;Switzerland;30556
2014;Denmark;27703
2014;Ireland;27322
2014;Lao PDR;26627
2014;Egypt;26222
2014;Iraq;25605
2014;South Africa;22667
2014;UAE;19772
2014;Norway;19307
2014;Kazakhstan;18072
2014;Turkey;16493
2014;Poland;12669
2014;Belgium;11736
2014;Kuwait;10448
2014;Finland;10362
2014;Uzbekistan;2646
2014;Qatar;2407
2014;Brazil;2056
2014;Nigeria;1619
2014;Sudan;1443
2015;Singapore;12930754
2015;Indonesia;2788033
2015;China;1677163
2015;Thailand;1343569
2015;Brunei Darussalam;1133555
2015;India;722141
2015;Philippines;554917
2015;Australia;486948
2015;Japan;483569
2015;Korea (ROK);421161
2015;UK;401019
2015;Chinese Taipei;283224
2015;USA;237768
2015;Vietnam;229626
2015;France;151474
2015;Bangladesh;147152
2015;Germany;144910
2015;Saudi Arabia;99754
2015;Nepal;93159
2015;Netherlands;84584
2015;Canada;79557
2015;Cambodia;75059
2015;Pakistan;69112
2015;Myanmar;66553
2015;Iran;65066
2015;New Zealand;60846
2015;Russian Federation;55263
2015;Italy;51946
2015;Sri Lanka;51337
2015;Spain;36692
2015;Sweden;35586
2015;Oman;31934
2015;Switzerland;28141
2015;Egypt;25637
2015;Lao PDR;24448
2015;Denmark;24113
2015;Ireland;22746
2015;South Africa;20625
2015;Iraq;18142
2015;Norway;17648
2015;UAE;15769
2015;Kazakhstan;15410
2015;Turkey;15395
2015;Belgium;12540
2015;Brazil;8268
2015;Finland;7473
2015;Poland;4818
2015;Kuwait;2662
2015;Uzbekistan;2352
2015;Sudan;1120
2016;Singapore;13272961
2016;Indonesia;3049964
2016;China;2124942
2016;Thailand;1780800
2016;Brunei Darussalam;1391016
2016;India;638578
2016;Korea (ROK);444439
2016;Philippines;417446
2016;Japan;413768
2016;UK;400269
2016;Australia;377727
2016;Chinese Taipei;300861
2016;USA;217075
2016;Vietnam;216877
2016;France;134257
2016;Germany;130276
2016;Saudi Arabia;123878
2016;Bangladesh;114607
2016;Canada;72337
2016;Netherlands;72200
2016;Cambodia;61844
2016;Nepal;60476
2016;Pakistan;58388
2016;New Zealand;53352
2016;Russian Federation;50893
2016;Myanmar;49175
2016;Iran;47102
2016;Italy;42747
2016;Sri Lanka;33340
2016;Sweden;32861
2016;Lao PDR;31061
2016;Egypt;30231
2016;Spain;28018
2016;Switzerland;26628
2016;Oman;23770
2016;Iraq;22533
2016;Denmark;21612
2016;South Africa;20053
2016;Ireland;18208
2016;Norway;14709
2016;Belgium;14283
2016;UAE;14150
2016;Turkey;13029
2016;Kazakhstan;10717
2016;Brazil;6298
2017;Singapore;12441713
2017;Indonesia;2796570
2017;China;2281666
2017;Thailand;1836522
2017;Brunei Darussalam;1660506
2017;India;552739
2017;Korea (ROK);484528
2017;Japan;392777
2017;Philippines;370559
2017;UK;358818
2017;Australia;351232
2017;Chinese Taipei;332927
2017;Vietnam;248927
2017;USA;198203
2017;France;131668
2017;Bangladesh;111836
2017;Germany;109816
2017;Saudi Arabia;100549
2017;Netherlands;75885
2017;Russian Federation;67564
2017;Canada;67056
2017;Iran;59023
2017;New Zealand;55923
2017;Pakistan;53453
2017;Italy;44638
2017;Sri Lanka;43738
2017;Myanmar;42314
2017;Cambodia;42004
2017;Lao PDR;39460
2017;Spain;35149
2017;Sweden;34304
2017;Egypt;23760
2017;Denmark;23219
2017;South Africa;21560
2017;Ireland;20854
2017;Switzerland;20775
2017;Nepal;20553
2017;Poland;20067
2017;Iraq;18555
2017;Belgium;17327
2017;Turkey;14594
2017;Norway;14121
2017;Ukraine;13068
2017;Kazakhstan;12577
2017;UAE;8555
2018;Singapore;10615986
2018;Indonesia;3277689
2018;China;2944133
2018;Thailand;1914692
2018;Brunei Darussalam;1382031
2018;Korea (ROK);616783
2018;India;600311
2018;Philippines;396062
2018;Japan;394540
2018;Chinese Taipei;383922
2018;Vietnam;375578
2018;UK;361335
2018;Australia;351500
2018;USA;253384
2018;Bangladesh;150054
2018;France;139408
2018;Germany;128895
2018;Saudi Arabia;112263
2018;Cambodia;90113
2018;Canada;84705
2018;Netherlands;81651
2018;Pakistan;74458
2018;Russian Federation;72785
2018;Iran;67094
2018;Italy;52055
2018;New Zealand;50698
2018;Spain;42267
2018;Myanmar;38513
2018;Sweden;32665
2018;Sri Lanka;28376
2018;Egypt;27909
2018;Switzerland;25680
2018;Poland;24364
2018;Lao PDR;23782
2018;Denmark;23566
2018;Iraq;22291
2018;South Africa;21977
2018;Belgium;20624
2018;Nepal;19914
2018;Ireland;19687
2018;Turkey;15406
2018;Norway;15202
2018;Ukraine;14529
2018;Kazakhstan;13861
2018;UAE;9386
2019;Singapore;7868755
2019;Indonesia;2792776
2019;China;2413956
2019;Thailand;1442224
2019;Brunei Darussalam;929789
2019;India;539167
2019;Korea (ROK);508080
2019;Vietnam;323393
2019;Japan;321283
2019;Philippines;317294
2019;Chinese Taipei;304273
2019;UK;276582
2019;Australia;271801
2019;USA;205502
2019;Bangladesh;120757
2019;France;114923
2019;Saudi Arabia;104491
2019;Germany;104083
2019;Cambodia;77574
2019;Pakistan;74580
2019;Canada;67173
2019;Netherlands;65113
2019;Russian Federation;60505
2019;Italy;44532
2019;New Zealand;37442
2019;Iran;35677
2019;Spain;34859
2019;Myanmar;33281
2019;Egypt;23411
2019;Sweden;21842
2019;Lao PDR;20959
2019;Poland;20643
2019;Switzerland;20007
2019;Sri Lanka;19141
2019;Belgium;17790
2019;Denmark;17388
2019;Iraq;17122
2019;South Africa;15117
2019;Ireland;14753
2019;Nepal;14417
2019;Kazakhstan;13912
2019;Ukraine;11695
2019;Turkey;11574
2019;Norway;11143
2019;UAE;9208
